# VE 0 -> 2
# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       0.70
2                       1.39
4                       2.88
8                       5.64
16                     11.24
32                     22.46
64                     45.85
128                    88.68
256                   174.88
512                   333.99
1024                  679.54
2048                  512.55
4096                 1014.74
8192                 1935.19
16384                3496.84
32768                6142.79
65536                9518.45
131072              10999.09
262144              15288.79
524288              18260.84
1048576             20006.81
2097152             21459.03
4194304             22713.95
