# VE 0 -> 1
# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       0.81
2                       1.61
4                       3.32
8                       6.51
16                     12.98
32                     26.06
64                     52.65
128                   102.39
256                   200.57
512                   382.89
1024                  769.45
2048                  656.15
4096                 1249.50
8192                 2383.36
16384                4351.65
32768                7067.28
65536               10318.20
131072              12047.08
262144              16840.56
524288              19356.79
1048576             20653.72
2097152             21812.73
4194304             23151.93
