# VE 0 -> 8
# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       0.64
2                       1.28
4                       2.57
8                       5.13
16                     10.28
32                     20.41
64                     40.30
128                    79.15
256                   205.56
512                   330.53
1024                  660.59
2048                 1316.64
4096                 2615.01
8192                 5108.58
16384                2785.12
32768                5543.95
65536               11004.69
131072              17283.77
262144              20118.90
524288              21848.92
1048576             22815.95
2097152             23336.47
4194304             23604.17
