# VH 0 -> 1
# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.55
2                       5.04
4                      10.27
8                      20.31
16                     40.96
32                     80.83
64                    159.26
128                   315.11
256                   591.54
512                  1100.71
1024                 2059.21
2048                 3336.04
4096                 4979.67
8192                 8114.54
16384                8798.36
32768               10371.10
65536               11586.30
131072              16632.21
262144              15219.03
524288              20375.28
1048576             22515.81
2097152             22728.51
4194304             22800.35
