# VE 0 -> 2
# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       1.92
2                       1.91
4                       1.87
8                       1.87
16                      1.88
32                      1.90
64                      1.93
128                     1.96
256                     2.04
512                     2.21
1024                    2.40
2048                    4.68
4096                    4.72
8192                    4.94
16384                   5.35
32768                   6.10
65536                   7.82
131072                 13.17
262144                 18.98
524288                 30.42
1048576                53.78
2097152                99.46
4194304               185.91
