# VE 0 -> 1
# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       1.55
2                       1.56
4                       1.52
8                       1.51
16                      1.52
32                      1.53
64                      1.56
128                     1.59
256                     1.68
512                     1.85
1024                    2.04
2048                    3.46
4096                    3.64
8192                    3.70
16384                   4.12
32768                   4.95
65536                   6.55
131072                 11.05
262144                 16.85
524288                 28.26
1048576                51.81
2097152                97.28
4194304               182.26
