# VE 0 -> 8
# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       3.95
2                       3.96
4                       3.89
8                       3.87
16                      3.87
32                      3.89
64                      3.91
128                     3.97
256                     4.82
512                     5.03
1024                    5.07
2048                    5.20
4096                    5.48
8192                    5.80
16384                  15.43
32768                  16.10
65536                  17.43
131072                 20.06
262144                 25.38
524288                 35.99
1048576                58.21
2097152               102.42
4194304               190.64
