# VH 0 -> 1
# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       2.11
2                       2.09
4                       2.09
8                       2.11
16                      2.09
32                      2.10
64                      2.11
128                     2.15
256                     2.83
512                     2.74
1024                    2.92
2048                    3.16
4096                    3.73
8192                    4.47
16384                   9.96
32768                  11.04
65536                  13.59
131072                 18.63
262144                 28.88
524288                 48.12
1048576                88.70
2097152               170.22
4194304               330.85
